소재지,Latitude,Longitude,도로명,주택유형,건축년도,건축구조,전용면적,건축면적,연면적,대지면적
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,326.68,1681.33,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2099.51,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2229.42,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,435.57,2273.72,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,435.57,2273.72,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,435.57,2273.72,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,308.43,1585.45,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,326.68,1681.33,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2099.51,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2099.51,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2229.42,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2229.42,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,411.24,2229.42,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,46.94,326.68,1681.33,7156.7
부산광역시 해운대구 재송동 1026-1,35.1925551,129.1237997,재반로165번길 82,아파트,1981,철근콘크리트구조,43.9,308.43,1585.45,7156.7
부산광역시 해운대구 재송동 1152-36,35.1924255,129.1316116,재송2로 53,다세대,1992,철근콘크리트구조,41.16,104.06,535.18,174.6
부산광역시 해운대구 재송동 179-40,35.1929251,129.123383,해운대로61번길 36,단독주택,1974,철근콘크리트구조,,39.67,39.67,2000
부산광역시 해운대구 재송동 1150-5,35.1933874,129.1304262,재반로 182,연립,1981,철근콘크리트구조,42.12,285.09,997.3,1956.8
부산광역시 해운대구 재송동 1150-5,35.1933874,129.1304262,재반로 182,연립,1981,철근콘크리트구조,42.12,285.09,997.3,1956.8
부산광역시 해운대구 재송동 1167,35.1937057,129.1334754,재송2로89번길 21,다세대,1993,철근콘크리트구조,53.07,128.71,618.05,214.9
부산광역시 해운대구 반여동 1480-5,35.194087,129.1188208,반여로 12,단독주택,1977,블록구조,,103.8,193.29,248
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
부산광역시 해운대구 재송동 1030,35.1940558,129.1261341,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
